api10,DocName,DocUrl,Start,Stop,Step,Step Units,Number of Curves,CurveNameArr
507107953,LAS-INDUCTION,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2381973,430,2417,0.25,FT,5,"['DEPT', 'SN', 'SP', 'DIR', 'GR']"
507107955,LAS-INDUCTION,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2227351,920,3300.25,0.25,FT,5,"['DEPT', 'SN', 'SP', 'DIR', 'GR']"
507107955,LAS-DENSITY,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2373855,920,3300.2,0.1,FT,7,"['DEPT', 'DCAL', 'RHOB', 'RHOC', 'DPOR', 'NPOR', 'GR']"
507107955,LAS-CEMENT BOND,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2259662,2983,3214.75,0.05,FT,6,"['DEPT', 'GR', 'CCL', 'TT3', 'AMP3', 'AMP5']"
507107999,LAS-DENSITY,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2386253,360,1622.7,0.1,FT,7,"['DEPT', 'DCAL', 'RHOB', 'RHOC', 'DPOR', 'NPOR', 'GR']"
507107999,LAS-CEMENT BOND,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2273993,0.5,1575,0.25,FT,7,"['DEPT', 'LTEN', 'TT3', 'AMP3', 'ATT3', 'GR', 'CCL']"
507107999,LAS-INDUCTION,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2315976,360,1622.75,0.25,FT,5,"['DEPT', 'SN', 'SP', 'DIR', 'GR']"
507107999,LAS-MUD,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2337433,346,1616,1,FT,3,"['DEPTH', 'ROP', 'GAS']"
507108006,LAS-INDUCTION,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2227566,420,1528.5,0.25,FT,5,"['DEPT', 'SN', 'SP', 'DIR', 'GR']"
507108006,LAS-MUD,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2305568,481,1525,1,FT,3,"['DEPTH', 'ROP', 'GAS']"
507108006,LAS-DENSITY,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2233718,420,1527.5,0.1,FT,7,"['DEPT', 'DCAL', 'RHOB', 'RHOC', 'DPOR', 'GR', 'NPOR']"
507108006,LAS-CEMENT BOND,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2247984,39.75,1484,0.25,FT,5,"['DEPT', 'TT3', 'AMP3', 'GR', 'CCL']"
507108009,LAS-CEMENT BOND,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2315061,-12.5,1647.5,0.25,FT,6,"['DEPT', 'CCL', 'TT3', 'AMP3', 'AMP5', 'GR']"
507108009,LAS-DENSITY,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2320936,450,1739.2,0.1,FT,7,"['DEPT', 'DCAL', 'RHOB', 'RHOC', 'DPOR', 'NPOR', 'GR']"
507108009,LAS-MUD,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2406627,404,1773,1,FT,3,"['DEPTH', 'ROP', 'GAS']"
507108009,LAS-INDUCTION,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2362333,450,1739.25,0.25,FT,5,"['DEPT', 'SN', 'SP', 'DIR', 'GR']"
507108014,LAS-DENSITY/NEUTRON,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2584711,954.4,2380,0.1,FT,6,"['DEPT', 'DCAL', 'RHOB', 'RHOC', 'DPOR', 'GR']"
507108014,LAS-MUD,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2398497,40,2380,1,FT,3,"['DEPTH', 'ROP', 'GAS']"
507108014,LAS-DUAL INDUCTION,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2584712,955.75,2382,0.25,FT,6,"['DEPT', 'SP', 'RILD', 'RILM', 'RLL3', 'GR']"
507108015,LAS-MUD,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2298549,626,2125,1,FT,3,"['DEPTH', 'ROP', 'GAS']"
